iter	Passed	Remaining
0	61	67121
1	61	33764
2	61	22621
3	62	17055
4	62	13717
5	62	11479
6	63	9877
7	63	8676
8	63	7743
9	64	6998
10	64	6390
11	64	5881
12	65	5449
13	65	5079
14	65	4758
15	66	4478
16	66	4233
17	66	4014
18	67	3818
19	67	3640
20	67	3480
21	68	3334
22	68	3202
23	68	3077
24	68	2964
25	69	2861
26	69	2768
27	69	2679
28	70	2597
29	70	2516
30	70	2442
31	71	2374
32	71	2314
33	71	2253
34	72	2196
35	72	2142
36	72	2091
37	73	2043
38	73	2000
39	73	1951
40	73	1910
41	74	1871
42	74	1833
43	74	1796
44	75	1762
45	75	1728
46	75	1696
47	76	1666
48	76	1637
49	76	1609
50	76	1582
51	77	1556
52	77	1530
53	77	1508
54	78	1485
55	78	1462
56	78	1440
57	79	1420
58	80	1411
59	80	1392
60	80	1373
61	80	1354
62	81	1335
63	81	1318
64	81	1301
65	82	1284
66	82	1268
67	82	1252
68	82	1237
69	83	1222
70	83	1208
71	83	1194
72	83	1181
73	84	1167
74	84	1154
75	84	1142
76	85	1129
77	85	1117
78	85	1105
79	85	1094
80	86	1082
81	86	1071
82	86	1061
83	86	1050
84	87	1040
85	87	1031
86	87	1021
87	88	1012
88	88	1003
89	88	994
90	88	985
91	89	976
92	89	967
93	89	959
94	89	950
95	90	942
96	90	934
97	90	926
98	90	918
99	91	910
100	91	903
101	91	896
102	91	888
103	92	882
104	92	875
105	92	868
106	92	861
107	93	855
108	93	848
109	93	842
110	93	836
111	94	830
112	94	824
113	94	819
114	94	813
115	95	807
116	95	802
117	95	797
118	96	791
119	96	786
120	96	781
121	96	776
122	97	771
123	97	767
124	97	762
125	97	757
126	98	753
127	98	748
128	98	744
129	99	739
130	99	734
131	99	730
132	99	725
133	100	721
134	100	717
135	100	713
136	100	709
137	101	704
138	101	700
139	101	696
140	101	692
141	102	688
142	102	684
143	102	680
144	102	676
145	102	672
146	103	668
147	103	665
148	103	661
149	103	658
150	104	654
151	104	651
152	104	647
153	104	644
154	105	640
155	105	637
156	105	634
157	105	630
158	106	627
159	106	624
160	106	621
161	106	617
162	106	614
163	107	611
164	107	608
165	107	605
166	107	602
167	107	599
168	108	596
169	108	593
170	108	590
171	109	588
172	109	585
173	109	583
174	109	580
175	109	577
176	110	574
177	110	572
178	110	569
179	110	567
180	111	564
181	111	561
182	111	559
183	111	556
184	112	554
185	112	551
186	112	549
187	112	547
188	113	544
189	113	543
190	113	540
191	113	538
192	114	535
193	114	533
194	114	531
195	114	528
196	114	526
197	115	524
198	115	522
199	115	520
200	115	517
201	116	515
202	116	513
203	116	511
204	116	509
205	116	507
206	117	504
207	117	502
208	117	500
209	117	498
210	117	497
211	118	495
212	118	493
213	118	491
214	118	489
215	119	487
216	119	485
217	119	483
218	119	482
219	120	480
220	120	478
221	120	476
222	120	474
223	120	472
224	121	471
225	121	469
226	121	467
227	121	465
228	121	463
229	122	462
230	122	460
231	122	459
232	122	457
233	123	455
234	123	454
235	123	452
236	123	450
237	123	449
238	124	447
239	124	445
240	124	444
241	124	442
242	125	441
243	125	439
244	125	437
245	125	436
246	125	434
247	126	433
248	126	431
249	126	430
250	126	428
251	126	427
252	127	425
253	127	424
254	127	422
255	127	421
256	128	420
257	128	418
258	128	417
259	128	415
260	128	414
261	129	412
262	129	411
263	129	409
264	129	408
265	129	407
266	130	405
267	130	404
268	130	402
269	130	401
270	130	400
271	131	398
272	131	397
273	131	396
274	131	394
275	131	393
276	132	392
277	132	390
278	132	389
279	132	388
280	132	387
281	132	385
282	133	384
283	133	383
284	133	382
285	133	380
286	133	379
287	134	378
288	134	377
289	134	376
290	134	375
291	135	373
292	135	372
293	135	371
294	135	370
295	136	369
296	136	368
297	136	367
298	136	366
299	136	364
300	137	363
301	137	362
302	137	361
303	137	360
304	138	359
305	138	358
306	138	357
307	138	356
308	138	355
309	138	354
310	139	353
311	139	351
312	139	350
313	139	349
314	140	348
315	140	347
316	140	346
317	140	345
318	140	344
319	140	343
320	141	342
321	141	341
322	141	340
323	141	339
324	142	338
325	142	337
326	142	336
327	142	335
328	142	334
329	143	333
330	143	332
331	143	331
332	143	331
333	143	330
334	144	329
335	144	328
336	144	327
337	144	326
338	144	325
339	145	324
340	145	323
341	145	322
342	145	321
343	145	320
344	146	319
345	146	319
346	146	318
347	146	317
348	147	316
349	147	315
350	147	314
351	147	313
352	147	312
353	148	312
354	148	311
355	148	310
356	148	309
357	148	308
358	149	307
359	149	307
360	149	306
361	149	305
362	150	304
363	150	303
364	150	303
365	150	302
366	150	301
367	151	300
368	151	300
369	151	299
370	151	298
371	152	297
372	152	296
373	152	296
374	152	295
375	152	294
376	153	293
